x,y,z
50561.378207910035,23138.86222075392,29071.36322146936
21191.827076660942,58700.54505963404,22566.795001864848
70570.57209463639,93241.77217198515,37827.635389697876
23811.818086421976,95810.4960645581,68735.50553292334
92232.48823560742,51168.808179732,14210.665910862519
16712.217828501485,57639.27724136465,14053.997262460827
91094.99486836148,49120.53205285708,40385.949447072875
76740.32767085763,49591.04230637844,61853.92879364895
5030.511765695689,60183.01266620297,58966.24227207056
61132.037741702916,2979.765916934496,18172.760453048875
99885.7033745685,25558.206713383213,40816.37665815352
33114.41234184224,10799.74920074207,33804.335102487246
90053.3371424073,57472.28801376604,31291.34406569868
14619.692967208242,51021.36625722867,73426.24389591768
68855.66747829042,86068.17588589857,16028.7214547151
43752.2600020241,72838.44301435683,46578.78938983977
76314.31262773342,5261.0314467371745,365.94542414012386
62651.8831625271,14988.532208167937,96967.95771872583
60936.32995745602,24805.130643985805,81727.28495646379
40024.64631221242,4894.936101503245,82957.0741066308
89201.2818997849,62065.05109109651,14690.351872940777
29454.309725635307,84642.01953989669,11839.503531329909
65300.04887477617,9413.692104640326,62143.966993909686
86048.74663966201,68021.902764359,98230.24630541295
61227.17768520154,86221.51757934163,65944.55393215737
37134.77554311514,46783.21972760935,1613.304645292779
38952.87015296991,97223.94059976713,71385.99499089767
9456.01358794147,23976.680323475342,54207.773010907986
66417.97713332539,71676.6444943652,18168.548094156668
96176.56869280497,51438.44507226616,62868.55829549409
36688.23686632379,90280.8054380001,67624.77568499719
41218.94744792377,95398.9106630685,52734.34595273245
88905.94900594815,44230.347653402525,56855.41842025754
82933.58661772367,9122.977615932015,71981.96769198158
20246.749407822994,93503.23454484786,22277.44601237216
57667.06582116906,77000.13918118978,82817.23879674866
33812.95365442557,29494.381395975633,48903.90750011856
20090.748507250977,31221.604169781793,87455.7265209762
86387.82892800323,12128.871744565706,54138.88910302344
50242.91107159996,68794.91105164337,37318.329977233
32789.130638120725,27465.539387506145,52842.756614904785
18785.26621000447,25761.090370878224,96681.06055554669
1799.0328967820046,93867.39986971352,7471.431238593762
82635.02456754775,23105.520288042724,43109.98850259796
23538.267598924765,86115.96535962958,98083.05169923349
59943.347598550936,33143.892325881505,52185.4710742567
19632.258841610706,82106.98874969994,5248.390050728635
99969.96435015129,56189.32663239695,27678.531930288875
27657.720255525353,10183.945100557234,72714.17850797669
45740.49708472392,45678.35490016193,91841.89825099955
86626.1819870086,44794.64710194413,21808.53504554472
68.80815572904986,54295.75024905252,65684.3968465124
52459.695510635065,78836.30637369126,31948.622877046917
99139.24910887577,49193.273276620544,43538.32584692101
69316.54360733474,53708.97684607816,53141.95760881206
44794.170147729805,80548.0753577347,58934.43775589473
88998.30873467767,47747.08974291913,80477.81252787648
90464.39122061481,7754.957137589146,19856.443881912634
66226.45133122585,59585.930309492374,71238.05439165453
6393.683111102732,18595.872185552555,41159.6190630398
79809.66736902234,65480.67068086082,759.6843915966712
87473.7251959941,4292.71400686062,83724.23514080854
42080.38083566088,80893.01031317777,16111.716632952
65138.430798268884,18900.74629468733,75155.12474701914
23373.194553757927,26662.10988429739,83241.18956651258
56962.27993242442,21273.589094265368,48833.05318870767
20738.19503911405,69773.90025499793,22304.06743446923
49978.172277468024,32786.17486825384,33793.882776056504
26199.40074259106,22322.66910558578,48154.538464987076
21090.61137655429,65572.93914832361,22290.577768425323
7408.547783236286,36987.12239334421,86981.16410910201
13947.953976714389,87417.41462032612,56653.962336976845
